,x,y,z
507,-14,53,5
508,-15,51,6
509,-16,50,6
510,-16,49,6
511,-18,50,8
512,-19,49,9
513,-17,47,10
514,-17,45,12
515,-21,47,14
516,-34,53,19
517,-36,52,23
518,-31,55,18
519,-29,64,13
520,-29,92,15
521,-30,85,21
522,-27,58,21
523,-24,64,17
524,-23,55,9
525,-22,62,5
526,-22,88,-1
527,7,84,-9
528,-14,75,1
529,-14,59,1
530,-16,57,4
531,-13,49,5
532,-11,49,4
533,-43,56,8
534,-69,56,19
535,-83,58,19
536,-77,61,19
537,-79,59,25
538,-81,55,28
539,-59,52,24
540,-51,53,19
541,-33,25,14
542,-32,14,7
543,-31,7,1
544,-32,3,-4
545,-43,0,0
546,-34,-4,0
547,-36,-10,0
548,-50,-13,2
549,-51,-29,3
550,-76,-27,12
551,-78,-23,25
552,-58,-21,26
553,-63,-18,27
554,-48,-14,19
555,-50,-14,15
556,-54,-24,10
557,-51,-26,9
558,-38,-38,14
559,-29,-39,17
560,-48,-25,58
561,-41,-21,59
562,-46,-34,37
563,-55,-37,38
564,-46,-31,33
565,-46,-34,29
566,-50,-40,25
567,-35,-45,20
568,-22,-45,20
569,-40,-50,38
570,-39,-38,44
571,-29,-33,48
572,-27,-28,40
573,-18,-35,28
574,-11,-34,22
575,-11,-31,13
576,-19,-35,8
577,-60,-45,21
578,-63,-46,24
579,-57,-38,30
580,-44,-33,31
581,-44,-24,35
582,-51,-16,39
583,-46,-3,42
584,-42,4,45
585,-37,7,34
586,-33,7,15
587,-33,12,6
588,-58,36,17
589,-34,54,18
590,25,101,9
591,24,128,2
592,-20,128,3
593,-34,115,1
594,-53,74,10
595,-43,58,5
596,-20,69,4
597,-10,76,3
598,-4,74,6
599,-14,67,11
600,-34,68,14
601,-42,75,8
602,-55,74,-7
603,-57,83,3
604,-48,74,-1
605,-44,50,4
606,-41,46,6
607,-34,43,3
608,-36,48,0
609,-38,75,-6
610,-35,85,-10
611,-25,84,-10
612,-11,84,-15
613,-17,74,4
614,-22,69,1
615,-23,72,-1
616,-24,69,-1
617,-17,58,-2
618,-13,55,-2
619,-9,54,0
620,-10,54,0
621,-12,55,3
622,-12,59,3
623,-12,63,4
624,-11,74,4
625,-12,80,5
626,-17,79,13
627,-19,72,17
628,-17,59,26
629,-19,58,31
630,-33,69,28
631,-32,75,25
632,-7,72,9
633,-4,73,7
634,-10,62,6
635,-16,58,5
636,-26,51,1
637,-28,46,0
638,-29,45,2
639,-26,48,4
640,-24,47,3
641,-21,47,2
642,-21,49,4
643,-22,58,1
644,-25,65,2
645,-43,86,24
646,-52,91,24
647,-41,84,20
648,-31,69,17
649,-10,61,8
650,4,56,-3
651,-1,68,3
652,-6,81,-1
653,-14,81,-4
654,-25,76,-3
655,-29,57,-1
656,-26,54,0
657,-21,51,-1
658,-17,47,-2
659,-17,46,-3
660,-14,44,-3
661,-13,44,-3
662,-14,49,-1
663,-16,52,3
664,-17,60,-1
665,-16,68,-7
666,-16,88,-12
667,-18,96,-11
668,-23,96,-3
669,-27,85,6
670,-34,58,25
671,-10,62,51
672,-45,54,73
673,-23,60,40
674,-22,85,15
675,-11,77,6
676,0,62,-2
677,0,51,0
678,-1,48,1
679,-10,47,10
680,-14,49,10
681,-13,46,12
682,-13,43,16
683,-16,45,21
684,-17,49,21
685,-19,60,24
686,-18,60,21
687,-15,73,10
688,-18,84,9
689,-37,91,16
690,-39,81,15
691,-29,46,9
692,-20,44,10
693,-20,51,7
694,-29,63,3
695,-30,75,-2
696,-25,86,-6
697,-25,81,-3
698,-28,75,1
699,-29,71,2
700,-26,66,10
701,-24,64,7
702,-17,66,24
703,-8,61,12
704,-4,52,14
705,-4,50,18
706,-6,46,17
707,-9,44,15
708,-13,55,14
709,-14,61,13
710,-18,69,7
711,-18,77,3
712,-19,88,-3
713,-22,73,-4
714,-25,68,0
715,-29,60,5
716,-25,58,5
717,-21,69,9
718,-23,73,8
719,-23,68,7
720,-23,63,6
721,-20,56,4
722,-17,55,3
723,-18,56,5
724,-20,56,8
725,-24,56,18
726,-20,55,17
727,-21,56,17
728,-22,53,17
729,-23,53,12
730,-26,61,11
731,-27,62,13
732,-22,64,5
733,-28,75,10
734,-28,77,9
735,-31,58,14
736,-20,53,11
737,-16,59,10
738,-18,70,9
739,-17,78,6
740,-16,80,3
741,-16,69,5
742,-12,61,5
743,-13,59,6
744,-15,54,8
745,-14,52,7
746,-11,53,4
747,-10,54,4
748,-9,56,4
749,-11,55,3
750,-11,52,4
751,-12,56,4
752,-13,61,4
753,-14,74,3
754,-16,81,1
755,-21,89,-2
756,-23,99,-3
757,-32,74,9
758,-33,61,13
759,-18,49,13
760,-15,51,12
761,-10,69,7
762,-10,76,7
763,-12,73,9
764,-11,63,12
765,1,49,3
766,-2,45,1
767,-17,50,6
768,-17,53,4
769,-20,57,9
770,-14,58,16
771,-11,55,16
772,-16,57,16
773,-21,60,16
774,-33,66,20
775,-34,69,20
776,-30,77,8
777,-28,80,4
778,-24,60,6
779,-23,58,4
780,-20,59,-1
781,-19,61,-3
782,-20,73,-5
783,-19,80,-5
784,-20,73,2
785,-18,66,4
786,-18,61,2
787,-18,56,-1
788,-19,56,1
789,-17,55,-1
790,-15,53,-3
791,-12,51,-3
792,-12,54,-2
793,-13,55,4
794,-14,57,3
795,-14,68,1
796,-15,75,4
797,-16,87,7
798,-15,87,10
799,-14,71,17
800,-13,67,19
801,-13,56,19
802,-13,54,18
803,-13,66,13
804,-10,76,12
805,-9,69,15
806,-8,55,15
807,-9,52,13
808,-9,55,11
809,-10,58,9
810,-13,53,10
811,-15,51,11
812,-16,46,12
813,-17,46,14
814,-17,49,13
815,-19,52,13
816,-19,63,17
817,-18,65,17
818,-15,71,11
819,-15,80,11
820,-22,94,14
821,-28,79,19
822,-31,46,19
823,-23,60,8
824,-19,64,4
825,-16,68,1
826,-16,73,1
827,-17,67,1
828,-19,63,1
829,-22,59,0
830,-22,58,-1
831,-20,58,-2
832,-19,57,-2
833,-16,55,-3
834,-16,56,-3
835,-16,59,-2
836,-16,60,-2
837,-14,62,-4
838,-12,61,-3
839,-11,68,0
840,-10,77,4
841,-10,84,7
842,-10,78,17
843,-9,65,19
844,-7,64,19
845,-9,59,24
846,-15,55,24
847,-17,64,18
848,-9,76,11
849,-24,78,12
850,-17,57,12
851,-15,55,9
852,-12,58,5
853,-14,54,3
854,-17,53,4
855,-17,52,4
856,-16,49,5
857,-16,49,6
858,-16,48,7
859,-18,46,10
860,-20,50,14
861,-21,69,19
862,-22,76,16
863,-24,82,15
864,-29,86,18
865,-35,87,18
866,-35,67,18
867,-22,45,12
868,-18,55,8
869,-18,62,3
870,-21,65,1
871,-23,80,1
872,-22,79,2
873,-18,61,4
874,-17,59,2
875,-21,57,-2
876,-21,61,-6
877,-21,61,-7
878,-17,58,-5
879,-15,59,-4
880,-16,65,-5
881,-15,62,-6
882,-12,56,-7
883,-13,60,-5
884,-18,71,-3
885,-18,75,-2
886,-16,82,8
887,-17,82,18
888,-20,60,42
889,-5,49,39
890,28,50,37
891,36,61,37
892,34,79,16
893,-16,85,21
894,-40,67,20
895,-34,61,14
896,-26,62,11
