x,y,z
-27,-48,15
-26,-50,15
-23,-56,16
-21,-56,15
-23,-54,15
-25,-53,16
-28,-55,15
-26,-60,19
-21,-61,25
-24,-61,28
-23,-67,27
-18,-76,40
-33,-70,37
-41,-62,36
-42,-62,34
-39,-56,34
-34,-48,31
-27,-39,23
-26,-37,19
-28,-39,13
-25,-40,17
-24,-39,17
-23,-37,13
-29,-38,11
-38,-37,12
-39,-36,14
-38,-38,22
-37,-41,28
-28,-48,42
-29,-49,47
-30,-52,45
-28,-57,41
-32,-85,44
-39,-83,44
-36,-75,37
-28,-69,32
-21,-56,32
-22,-56,33
-27,-60,26
-25,-62,24
-22,-64,19
-30,-40,21
-32,-29,17
-30,-26,11
-28,-28,9
-23,-37,9
-18,-40,12
-21,-58,17
-19,-68,18
-21,-63,21
-26,-58,21
-33,-54,19
-38,-55,18
-41,-63,20
-38,-70,24
-26,-76,37
-20,-76,42
3,-67,55
7,-69,57
-1,-63,46
-6,-56,42
-11,-43,30
-12,-39,22
-13,-39,19
-18,-41,17
-23,-42,16
-26,-43,19
-27,-42,22
-31,-37,22
-32,-36,24
-33,-40,32
-33,-44,35
-28,-48,38
-25,-49,38
-24,-64,38
-26,-81,45
-35,-91,46
-34,-86,38
-20,-71,27
-16,-66,29
-17,-53,30
-25,-43,18
-26,-41,18
-33,-42,16
-35,-43,17
-33,-46,17
-33,-47,17
-35,-48,19
-36,-48,20
-32,-47,19
-33,-46,19
-35,-51,20
-35,-52,19
-38,-57,23
-34,-60,25
-30,-62,26
-28,-63,30
-24,-73,33
-25,-65,36
-22,-60,38
-17,-58,41
-16,-58,41
-13,-47,31
-10,-42,30
-6,-41,29
-11,-41,24
-14,-45,26
-20,-47,23
-23,-45,20
-27,-44,23
-25,-41,32
-26,-41,34
-29,-41,35
-23,-43,39
-23,-42,40
-25,-43,40
-31,-49,39
-34,-65,41
-35,-85,43
-30,-76,32
-27,-70,30
-30,-65,29
-35,-59,26
-34,-49,20
-30,-45,18
-29,-41,18
-34,-41,17
-36,-45,14
-36,-49,14
-35,-54,16
-34,-56,16
-32,-58,17
-31,-57,17
-32,-55,16
-32,-55,16
-31,-56,18
-27,-59,20
-25,-59,22
-20,-58,26
-18,-59,28
-18,-66,29
-18,-64,31
-21,-58,36
-20,-56,38
-17,-60,39
-15,-62,40
-4,-54,34
-5,-49,28
-6,-49,27
-6,-50,27
-14,-49,22
-16,-49,25
-17,-45,22
-20,-42,27
-19,-45,27
-22,-45,34
-20,-43,33
-19,-45,29
-16,-50,42
-22,-50,45
-22,-51,39
-29,-63,40
-34,-85,43
-24,-89,42
-20,-75,36
-21,-62,29
-26,-61,28
-35,-54,25
-34,-49,23
-28,-43,22
-31,-41,20
-39,-43,19
-40,-45,18
-40,-46,19
-35,-45,18
-35,-44,18
-38,-42,20
-38,-41,20
-37,-39,23
-35,-40,26
-36,-43,33
-35,-47,34
-31,-50,38
-29,-51,39
-19,-53,39
-14,-57,37
-13,-65,38
-16,-63,37
-25,-55,35
-27,-54,32
-30,-57,30
-23,-48,30
-20,-46,31
-18,-43,30
-19,-44,30
-21,-46,31
-24,-45,28
-30,-44,26
-33,-43,27
-35,-42,29
-34,-44,29
-31,-49,38
-27,-51,42
-23,-52,41
-24,-52,41
-31,-53,42
-36,-59,41
-53,-79,38
-43,-65,29
-37,-57,25
-35,-47,24
-40,-43,21
-43,-35,15
-41,-31,15
-40,-28,14
-40,-27,13
-47,-27,13
-49,-29,16
-49,-32,19
-48,-31,20
-49,-31,23
-48,-32,25
-47,-33,28
-46,-36,30
-44,-41,35
-41,-43,35
-37,-46,34
-36,-46,34
-37,-46,34
-42,-55,33
-48,-57,33
-51,-51,36
-50,-47,31
-48,-49,21
-42,-50,20
-29,-42,17
-27,-38,16
-29,-36,15
-32,-37,16
-42,-42,20
-42,-44,23
-38,-45,25
-40,-46,30
-36,-46,36
-34,-43,36
-33,-43,35
-31,-44,38
-29,-44,40
-27,-45,44
-28,-45,42
-33,-44,35
-38,-49,34
-50,-71,38
-50,-76,33
-37,-61,24
-34,-54,24
-35,-47,22
-38,-44,20
-39,-37,16
-36,-34,16
-36,-32,18
-38,-33,18
-41,-37,17
-40,-42,18
-40,-44,21
-36,-44,21
-35,-42,18
-38,-44,20
-39,-47,22
-40,-50,23
-40,-52,23
-37,-57,25
-35,-59,26
-29,-70,33
-26,-76,34
-22,-73,29
-23,-68,28
-20,-63,30
-20,-62,30
-20,-54,27
-17,-48,24
-13,-42,20
