x,y,z
-26,52,-6
-27,55,-4
-31,56,-6
-32,57,-4
-32,62,-2
-29,62,-2
-29,63,1
-27,65,1
-24,84,-1
-25,86,1
-20,75,5
-20,70,8
-24,52,10
-25,49,10
-27,51,12
-24,52,13
-19,53,11
-20,54,10
-25,56,10
-28,55,7
-31,55,8
-29,54,10
-27,55,10
-26,56,10
-28,55,10
-29,52,10
-30,52,10
-32,52,11
-32,52,12
-32,56,11
-32,59,10
-30,64,3
-30,70,2
-29,76,3
-26,76,0
-26,77,-1
-28,67,-1
-26,48,-3
-30,62,-4
-31,67,-3
-27,71,-3
-24,68,-3
-19,67,-2
-19,68,-2
-20,67,-4
-21,65,-3
-19,61,-4
-19,60,-3
-22,57,-3
-23,57,-3
-24,59,-1
-24,60,-1
-23,60,-2
-24,61,-2
-24,60,0
-23,63,0
-21,70,0
-19,81,0
-20,78,3
-20,68,5
-21,60,7
-23,53,11
-24,52,10
-24,57,9
-23,60,10
-20,65,11
-20,65,12
-25,60,11
-26,59,12
-25,54,11
-23,54,12
-24,57,12
-24,57,13
-22,56,13
-24,53,14
-25,52,14
-26,51,11
-27,53,11
-25,59,10
-24,62,9
-22,64,8
-21,65,6
-22,77,4
-21,80,2
-20,85,2
-20,77,2
-22,58,-2
-22,60,-2
-26,69,-4
-22,72,-3
-15,76,-1
-11,67,1
-14,63,0
-19,59,-2
-20,57,-3
-21,57,-1
-21,56,-1
-20,55,-1
-20,54,0
-22,56,1
-23,59,1
-24,61,0
-24,63,-1
-23,65,0
-23,71,0
-21,78,2
-20,72,3
-23,68,6
-25,64,8
-24,59,13
-19,59,12
-18,63,12
-17,66,11
-18,65,10
-22,60,12
-23,57,11
-24,52,11
-25,51,12
-24,52,13
-24,55,13
-27,57,13
-31,56,12
-34,51,10
-34,50,10
-31,50,10
-33,50,9
-35,56,11
-35,56,10
-34,57,10
-32,58,8
-32,62,6
-33,71,3
-35,73,4
-36,61,1
-34,55,-1
-32,65,1
-29,70,1
-23,77,0
-21,73,1
-15,65,2
-13,59,1
-20,54,1
-22,55,1
-19,54,0
-19,53,1
-22,57,4
-24,56,3
-26,57,5
-28,67,3
-27,68,3
-25,69,4
-22,75,1
-24,88,1
-23,74,3
-22,58,2
-24,59,3
-28,64,7
-24,61,8
-18,60,10
-14,59,10
-16,57,11
-19,56,11
-18,55,12
-19,56,13
-21,55,13
-23,56,15
-24,57,16
-23,59,19
-22,57,18
-23,52,14
-23,50,13
-27,51,13
-27,50,13
-27,55,13
-26,58,13
-27,59,11
-28,60,11
-26,72,13
-24,78,13
-23,85,11
-24,84,10
-26,64,8
-26,57,7
-26,61,7
-23,73,7
-19,74,4
-19,71,4
-19,69,4
-21,66,2
-22,66,4
-20,63,5
-19,60,4
-16,54,4
-18,54,4
-20,51,3
-20,53,3
-19,58,3
-21,62,2
-23,65,4
-17,72,-1
-17,81,-1
-20,74,4
-20,67,4
-24,62,13
-24,59,15
-21,55,14
-18,58,16
-16,66,15
-17,69,13
-21,67,14
-23,65,14
-21,58,15
-20,56,15
-19,53,15
-19,53,17
-21,55,17
-20,54,17
-21,53,17
-22,52,17
-23,51,17
-23,50,17
-23,52,18
-23,55,18
