x,y,z
-13,-49,33
-13,-56,38
-11,-63,39
-10,-62,38
-10,-58,32
-16,-76,29
-21,-78,30
-24,-73,26
-22,-68,27
-18,-50,24
-19,-52,20
-28,-64,17
-25,-72,19
-19,-70,18
-12,-64,20
-12,-63,23
-16,-66,19
-18,-65,17
-18,-65,15
-15,-62,15
-13,-62,16
-13,-63,14
-15,-59,14
-16,-63,14
-17,-67,15
-16,-66,15
-11,-72,18
-8,-75,18
-4,-72,22
-6,-65,27
-7,-60,30
-6,-41,28
-3,-43,24
-6,-53,23
-7,-56,24
-6,-55,28
-6,-53,29
-8,-47,29
-9,-45,29
-10,-51,30
-6,-53,31
-4,-53,26
-7,-55,23
-13,-57,30
-14,-53,33
-14,-56,36
-13,-61,38
-9,-64,38
-7,-56,38
-7,-55,35
-16,-76,30
-21,-78,33
-18,-65,30
-15,-59,26
-13,-49,18
-18,-56,15
-28,-66,13
-29,-72,12
-24,-72,12
-21,-72,12
-18,-67,17
-19,-65,18
-20,-67,15
-20,-68,14
-20,-66,17
-20,-67,18
-20,-64,19
-19,-57,23
-20,-56,24
-19,-57,24
-17,-57,24
-10,-64,25
-5,-64,27
2,-61,24
1,-65,24
-4,-72,23
-6,-67,28
-7,-39,38
-6,-36,37
1,-47,29
0,-49,27
-3,-51,26
-2,-50,28
-3,-46,32
-7,-41,34
-9,-43,33
-4,-51,31
-3,-51,30
-4,-55,32
-8,-53,33
-8,-54,37
-6,-56,38
-2,-67,34
-3,-69,33
-10,-53,32
-10,-61,29
-11,-73,28
-13,-64,26
-14,-66,19
-14,-66,19
-13,-53,21
-17,-51,20
-28,-65,21
-22,-69,23
-17,-67,24
-5,-67,27
-2,-68,28
-4,-65,23
-8,-62,21
-14,-60,20
-15,-60,19
-17,-57,20
-17,-56,19
-15,-57,20
-14,-59,21
-10,-63,19
-8,-64,18
-8,-69,18
-11,-71,18
-12,-74,15
-14,-71,17
-15,-64,19
-12,-51,27
-11,-44,29
-7,-55,23
-6,-57,23
-5,-62,23
-5,-64,25
-7,-56,30
-8,-52,29
-12,-49,27
-12,-51,27
-5,-52,28
-4,-51,28
-9,-48,30
-11,-45,33
-8,-50,35
-5,-57,35
-6,-59,34
-17,-72,22
-25,-85,17
-34,-71,23
-32,-64,23
-22,-48,22
-20,-52,19
-26,-62,14
-25,-64,14
-16,-65,14
-11,-63,13
-9,-59,19
-11,-55,19
-14,-51,13
-16,-53,15
-16,-59,17
-13,-59,20
-12,-58,25
-10,-57,26
-11,-58,27
-18,-128,-128
